author,likeCount,text,videoId
@Duhman2,0,Where kriz ar?,2C6omXxIcyE
@miasb298,0,Yay gaming!!!!,2C6omXxIcyE
@KeownFabian-b5o,0,I didn t expect to love this as much as I do,2C6omXxIcyE
@halka-anime,0,yeeeey tareck in vedoe,2C6omXxIcyE
@byertvlaptop7322,0,Yesyesyes,2C6omXxIcyE
@ratishdebbarma2915,0,Pure talent. No words,2C6omXxIcyE
@JasolPolis,0,This video randomly popped up and I m glad it did,2C6omXxIcyE
@SheilinMartinez-mu9cx,0,Who else is here before this blows up,2C6omXxIcyE
@Ariana-eglovey,0,More mrbest gaming,2C6omXxIcyE
@sharonrajoo6289,66,Hi to Vegas Matt and crew  always a pleasure watching your videos. Let's go WBG you can do it...i love watching you guys  I watch your videos every day. Lots of love from South Africa ❤,--usxV5_Mqg
@russellfrancisjr.2407,1,A Gentleman always wins even when he doesn’t.,--usxV5_Mqg
@narcisorelopez9156,0,What a day Lots of UP and DOWN. Good hit Sando bonus  that's the name of the game. Just like everybody's saying everything  has to end. Congrats WBG YOU US alot of AH OH moments.,--usxV5_Mqg
@heatherwilson5679,0,It was a good run WBG!,--usxV5_Mqg
@scottdavis2070,0,I know someone that puts peeps in the closet for a year then eats them.,--usxV5_Mqg
@LoriM-h7f,0,Sorry WBG’s streak came to an end!!,--usxV5_Mqg
@Neacodave,0,EASY like Sunday morning….,--usxV5_Mqg
@kaykaykes1230,0,WBG Question of the day   You guys mentioned starting a podcast  who would be your #1 person dead or alive to interview and what would you want to ask them?  Congratulations on making it this many days in a row and giving Matt and W2J a HUGE run for their money!!,--usxV5_Mqg
@dalemcdonough152,0,Now EJ is ending the monologue early! 😂😂😂,--usxV5_Mqg
@toma-iu9zj,0,the dealer is likely to make his hand when he shows a two,--usxV5_Mqg
@JerryPatton-d2e,0,Why would you ever play multi deck BJ at those stakes ?😢,--usxV5_Mqg
@davidm8253,0,Ej why are some of my comments being deleted when I’m correcting people on how well yall have done on the last 18 straight bj sessions?,--usxV5_Mqg
@richardc458,0,WBG the slot whisperer,--usxV5_Mqg
@michaellee7892,0,There should be a $10 000… budget on this daily competition. Lose that  and the next guy gets to play! 😎👍🤑💰🏆,--usxV5_Mqg
@Maszerr,0,Very nice gambling addiction video. Could ruined your entire life and deppession,--usxV5_Mqg
@someguy-k2h,0,What the hell was that?  At the end  you cut away to another game where the lucky chance spin is happening.  I had to watch it 3 times because it made absolutely no sense.  I guess EJ is showing off his editing again.,--usxV5_Mqg
@Kiddz1966,0,What does the super grand chance do?   Does it give you a minimum x’s bet at least? Is it a wheel or something when it hits?,--usxV5_Mqg
@Pranchu88,0,I blame the cruise good run,--usxV5_Mqg
@marylouisestone5852,0,That was a great run WBG. YOU WON BACK A LOT OF MONEY BACK FOR THE CHANNEL tho. Good job my friend. Can’t wait for tomorrow’s challenge with Matt or. W2 Jesus   Good luck guys.  Happy Easter to you all!  HAPPY FIRST EASTER TO VEGAS BABY!,--usxV5_Mqg
@elizabethbattaglia-lizzyti8657,0,Question of the day…if you could create your own slot machine what features would it have?,--usxV5_Mqg
@havokblades9440,65,Man this is hard  I do love Bueno but I don’t understand the pick up. Why are we dropping people who are underperforming and signing someone who just got dropped from a worse team…for underperforming? Just doesn’t make sense to me,PKLo0sJT4o8
@RePete32,54,The fact Pred is ripping and Skyz goes hella negative every match is hilarious,PKLo0sJT4o8
@ManXO11,17,Sky’s is so buns bro,PKLo0sJT4o8
@ndoisamusaga3137,14,That Faze run that caught up to 200 was insane,PKLo0sJT4o8
@cristianjuarez2438,14,they ended stream?,PKLo0sJT4o8
@IamBrockatron,8,Going double neg when the rest of your team drops mid to high 30s is insane.  Drop 3 mill for sib NOW.,PKLo0sJT4o8
@JLNBN05,8,This team is done for the year and next this roster MUST GO NOW !!!!,PKLo0sJT4o8
@iFluXuATe789,6,They ended stream lmao,PKLo0sJT4o8
@Canigrowit,5,The score change for the halo team while the boys are heartbroken is comedy 3:05:33,PKLo0sJT4o8
@Crow5537,4,Somehow I’ve never wanted an optic season to end sooner then this one,PKLo0sJT4o8
@eduarebelo20,3,This is literally what makes the difference  just the mentality of that faze team. The S&D and HP on vault were Optic’s games to lose. Faze did what they had to do which was trying to keep playing consistently and hope for the mistakes  which is what great teams in any sport do when they are on the back foot. And optic  although playing better  did them the favor of throwing both games.,PKLo0sJT4o8
@ShawnFX,3,Another Optic loss  ya love to see it folks!,PKLo0sJT4o8
@jacksimpson259,3,Bro pred was never the problem the so called super shitter star was,PKLo0sJT4o8
@NoHacksUrJustBad,3,Pred wasn't the problem.,PKLo0sJT4o8
@MJisAGlorifiedDemarDerozen,3,Just drop Skys bro   take a chance on a challengers player … it can’t be any worse & maybe you find a gem like with Dan in MW2,PKLo0sJT4o8
@qHaaZe,2,Who’s picking these players?,PKLo0sJT4o8
@TxSnipes,1,3:03:13 we see drazah invade the back  and skyz sitting vault at the end literally cost. Either way decent cod played today,PKLo0sJT4o8
@4vjasn,1,optic slammed,PKLo0sJT4o8
@groovytony6705,1,SCUMP SAVE US,PKLo0sJT4o8
@SicKSKITSO,1,🙌 yes!,PKLo0sJT4o8
@Amelia.Ratliff,157,Chipfat is the 'funniest bloke to ever exist. He’s the reason this series is so successful. ..,pTfN28TR-SY
@tylerlitman4095,1,get filly in this episode,pTfN28TR-SY
@xHipster_,1,we need pie deji and DANNY always. but we need PIE,pTfN28TR-SY
@xHipster_,1,i love PIEEEEE,pTfN28TR-SY
@hyeenaaa1960,1,pie masterclass 🎉🎉,pTfN28TR-SY
@MarcoVaillancour,1,Thank you for the great content!,pTfN28TR-SY
@Marstarbee,1,Thanks for 526 subscribers❤🎉🎉!,pTfN28TR-SY
@RichyGD,1,DanTDM on a sidemen among us would be very interesting to watch,pTfN28TR-SY
@AmiyahBarrett-d7x,0,This gave me chills… in the best way,pTfN28TR-SY
@BidkkgcDgcd,0,You just earned a new subscriber,pTfN28TR-SY
@synekwastaken,0,I feel like at 52:09 Lannon could've killed Vikkstar and then recalled and came from top left into Ethan's vision caf to get him on his side,pTfN28TR-SY
@CalebisWilsoner,0,That part at 2:45 Instant goosebumps,pTfN28TR-SY
@TaniatuzJara,0,Pure talent. No words,pTfN28TR-SY
@cflwhat,0,Deji is in contention for the funniest human alive,pTfN28TR-SY
@JeromyFomby-d3r,0,Came for the thumbnail  stayed for the vibes,pTfN28TR-SY
@TimeChatchai,0,Chipfat I'm begging you  lower the volume on Deji's mic  my poor ears  he shouts and screams and it's just getting annoying having to lower my volume every few minutes,pTfN28TR-SY
@TahwraNappe-w9u,0,You just earned a new subscriber,pTfN28TR-SY
@widgalderFrancois,0,why is paul so horrible,pTfN28TR-SY
@rishabhagarwal1229,0,U need to get disguised toast and gang,pTfN28TR-SY
@JakeDariusEbora,0,8:13 pls someone edit this,pTfN28TR-SY
@sekane8878,27,My eighteen year old dog passed away two days ago. I've passed most of my life with him and nothing could bring me a smile  but watching Caseoh helps me a lot to go through this  thank you to be the person you are and i wish you all the best.,DGzVwk7B0W0
@springflowersofdistantdays,3,10 minutes in and I have a question: why was the handyman working in complete darkness? bro was definitely squatting,DGzVwk7B0W0
@asfjde1,2,Bro got a j*b at the cafe,DGzVwk7B0W0
@unafome,2,18:38 LMAAAAO OFC HIS FACE LIGHTS UP,DGzVwk7B0W0
@MaryReyes-g1c,1,I literally just started watching this lol,DGzVwk7B0W0
@KhalidMaher1,1,I miss the old setup.. ,DGzVwk7B0W0
@baconhairroblox5705,1,Jesus Christ loves you so  much that He died on the cross for you. He has risen and is coming back  repent of your sins and turn to Him. He cares about you,DGzVwk7B0W0
@Brad_dealer,1,Boss im outta product,DGzVwk7B0W0
@Mr_Chunkz,1,𝙔'𝙖𝙡𝙡 𝙞𝙨 𝙘𝙖𝙨𝙚𝙤𝙝 𝙧𝙚𝙡𝙚𝙖𝙨𝙞𝙣𝙜 𝙖 𝙧𝙚𝙙 𝙝𝙚𝙖𝙫𝙮𝙬𝙚𝙞𝙜𝙝𝙩 𝙝𝙤𝙤𝙙𝙞𝙚? 𝙒𝙝𝙖𝙩 𝙙𝙤 𝙮'𝙖𝙡𝙡 𝙩𝙝𝙞𝙣𝙠,DGzVwk7B0W0
@Ally_Cat-g49,1,Bro! CasOh's eyes brightened when he saw Mrs. Jacobs with dat pizza!!😂😂,DGzVwk7B0W0
@Snukiki,1,DID YOU MOVE OUTT???,DGzVwk7B0W0
@Ooughhh,1,Ive got a brown otter doing flips at my back door,DGzVwk7B0W0
@VivYonko,1,Please keep up with the spooky time videos they are great,DGzVwk7B0W0
@Nxmyyyy,1,WAIT IS CASEOH'S HOUSE FINALLY FINISHED OR WHERE IS HE!?!?,DGzVwk7B0W0
@muziclover.co.m,1,Why are we censoring the o’s in chat?,DGzVwk7B0W0
@AutomationTechDad,1,12:00 the old man part had me laughing to tears 🤣🤣🤣,DGzVwk7B0W0
@Livyluv4,1,42:59 the person walking out after seeing this corny conversation 😂,DGzVwk7B0W0
@neno56527,1,Is he in a hotel room?,DGzVwk7B0W0
@user_zmskz95,0,29:07 i got scared so bad i thought someone was in my room,DGzVwk7B0W0
@juanxpeke,0,w tom,DGzVwk7B0W0
@TuanHoang-ux5pi,4778,*UNDER TWO DAYS GANG 👇* 🎉🎂,HADx-UCV4Ik
@Duolingo-on-the-way,1,Can you play alternate battlegrounds it’s basically a strongest battlegrounds game but In undertale like frisk Sans chara some other characters but I don’t know,HADx-UCV4Ik
@dizzyyaya1076,1,Under 11 hours,HADx-UCV4Ik
@anneejim-ci9uq,1,Foltyn I have sent you a friend request pls accept,HADx-UCV4Ik
@YogithRavikumar2015,1,Foltyn is the best I have a channel to but I get no views likes subs 😢😢😢😢😢😢😢,HADx-UCV4Ik
@Nooboftsb-v1g,1,Woah hey hey eh eh eh that's weird foltyien kissing carl,HADx-UCV4Ik
@KenyaGaynor,1,0:54 GET IN THERE CARL got me 😂😂,HADx-UCV4Ik
@ConCosta-d9c,1,Those who are watching in 2025 👇,HADx-UCV4Ik
@narad4887,1,Foltyn sucks un sub to him he is the worst🤬🤬🤬🤬,HADx-UCV4Ik
@AdamZreika-t8m,1,YOO FOLTYN WITH ANOTHER BANGERRRRRRR,HADx-UCV4Ik
@eshanadahal-q5i9n,1,Happy Easter 🐇🐰🐣 foltyn!!!,HADx-UCV4Ik
@Nephthalimthegreat,1,Go In fortnite funny’s house and touch the princess aka carla,HADx-UCV4Ik
@Blackhole87636,1,Under nine hours,HADx-UCV4Ik
@amybickley8901,1,Bros name is ****  500 hundred likes on this comment and I will say it.,HADx-UCV4Ik
@Marstarbee,1,Thanks for 526 subscribers❤🎉🎉!,HADx-UCV4Ik
@Andreas-brawlstars,1,Erm ur real name is keirsten foltyn,HADx-UCV4Ik
@Ethangamer555YT,1,Hi dave,HADx-UCV4Ik
@HudsonMartin-p4b,1,Foltyn I love your videos,HADx-UCV4Ik
@Sunset6_jds,0,Stay underwater and you’ll get the ending: you have to stay there tell your health goes down all the way,HADx-UCV4Ik
@NayleneCarrillo,0,9:48  SLAYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,HADx-UCV4Ik
@QUININ-x7j,2190,*WHO LOVE SOCKS??*,3VqQ8u-9iLU
@SocksIRL,602,minecraft 2?,3VqQ8u-9iLU
@WayneIndefenso,1,0:33 technoblade never dies🎉,3VqQ8u-9iLU
@ThatMo_VR,1,love the off-white prestos,3VqQ8u-9iLU
@LegoPlayz29,1,Probably my fav video lol,3VqQ8u-9iLU
@Robloxpugs,1,Bro yearned for the mines,3VqQ8u-9iLU
@am_a_beluga_boi,1,Dude nobody held the bow right 😭   next do subnautica,3VqQ8u-9iLU
@Axer_offical,1,We need to see a Nether episode now >:),3VqQ8u-9iLU
@-sxmpli.kxtiee,1,hi,3VqQ8u-9iLU
@William-t9u,1,Congrats on trending 🎉,3VqQ8u-9iLU
@Lazar-good,1,Techoblade Never Dies,3VqQ8u-9iLU
@eduardoriveraflores2117,1,Bru I would run and jump feet first to the creeper,3VqQ8u-9iLU
@RealSnowBanana,1,7 hours,3VqQ8u-9iLU
@MandoInRed,0,BRO BOUGHT A BOSTON DYNAMICS DOG FOR A DOG? IN A VIDEO! COMMITMENT! DAMN MAN  I WOULD HAVE KILLED TO SEE THIS AS A KID.....             Pin me❤,3VqQ8u-9iLU
@abrarmalikanindito7431,0,Idk if its just me or oof looks like magnus carlsen?,3VqQ8u-9iLU
@gamepi-l3k,0,“I got a little bored so I made Minecraft in real life”,3VqQ8u-9iLU
@MatthewNava-f1t,0,I  hate grox,3VqQ8u-9iLU
@MyopinionbestFNplayer,0,HAPPY EASTER GANGGGGG!!,3VqQ8u-9iLU
@MyopinionbestFNplayer,0,Under 10hr gang |                                \/,3VqQ8u-9iLU
@Jeremy-cv7of,0,ive been waiting for this video thanks❤❤❤,3VqQ8u-9iLU
@yourbrother204,3,The graphics are so cool. Sega will never recover from this.,xYhGL5y4DPQ
@juancordova5815,3,Wow. I didn't know that🎉,xYhGL5y4DPQ
@pik4chu,3,Oh boy this takes me back,xYhGL5y4DPQ
@bhollingsworth,2,Ant man played Nintendo. Think about it.,xYhGL5y4DPQ
@tattertot8259,2,wow 1991 so in 2 year child me will start waiting patiently to save Marin from being trapped as a seagull forever . Rather then now where I wait with pure blood demon hate in my heart .,xYhGL5y4DPQ
@DavidMartinez-tx8rr,2,👁️👅👁️,xYhGL5y4DPQ
@ConquerBadFurDay,2,Godddddd!!!!!!!! Giive me more nintendo!,xYhGL5y4DPQ
@fenixthemagicpineapple9964,2,looks pretty cool....but the sega genesis is only 150 dollars and comes with sonic!? *90s riff*,xYhGL5y4DPQ
@gridvid,2,Will this man ever age?,xYhGL5y4DPQ
@buzzy469,2,Upload the Mario Kart 64 Taco Bell commercial 😩,xYhGL5y4DPQ
@elfidge1,2,RIP Tony Jay,xYhGL5y4DPQ
@mystictistic,2,back when consoles were fairly priced,xYhGL5y4DPQ
@Havokwreaker,2,Please do more old commercials!,xYhGL5y4DPQ
@malik_931,1,they did end up remake it with the switch 2. And the same guy too.,xYhGL5y4DPQ
@ashtoncardinal9204,1,So thats where now you're playing with power came from. Good knife party song,xYhGL5y4DPQ
@michaelgannon8364,1,Nintendo  load up Celery Man  please,xYhGL5y4DPQ
@Aliens_Project,1,You can summon the old spirits all you want...but it's another time now and you failed👍,xYhGL5y4DPQ
@headninjadog8120,1,Props to Nintendo and Paul Rudd for still being notable!,xYhGL5y4DPQ
@Fjaloeat1,1,I miss old Nintendo.,xYhGL5y4DPQ
@Psych0gmr,1,Trying to use nostalgia to trick you audience now? It's funny cause games back then where definitely cheaper than they are now. So drop the price.,xYhGL5y4DPQ
@Willjum,534,If you do enjoy the vid  It would mean the world if you left a like and dropped a sub! I would reccomend it because next weeks part 2 is a BANGER base,QMQMb8tCXUI
@blessing_p4in976,1,39:16 can anyone help me find the song please,QMQMb8tCXUI
@blessing_p4in976,1,39:16 I need the song name i was searching for hours cant find it….,QMQMb8tCXUI
@LNGRT,1,Willjum’s videos nail that sweet spot – chill  smart  and never too much. Top-notch content every time.,QMQMb8tCXUI
@CarsonGueho0143,1,Happy Easter  Willjum:),QMQMb8tCXUI
@Dingleberry90Kid,1,I remember the days  everybody was asking for planting Videos and he had no clue how it was working.. and now he does it everytime 😄,QMQMb8tCXUI
@justinbritz3536,1,I loved how so many people recognised you from your name and those distinct sort of wacky base designs😂,QMQMb8tCXUI
@raphaelgarcia9576,0,That’s a rough start,QMQMb8tCXUI
